,$h_f$,$k_f$,$l_f$,$h_s$,$k_s$,$l_s$,$A$ (Å$^2$),$\epsilon$,$E_{it}$ $(J/m^2)$,$E_{el}$ $(eV/atom)$,$u_{f1}$,$v_{f1}$,$w_{f1}$,$u_{f2}$,$v_{f2}$,$w_{f2}$,$u_{s1}$,$v_{s1}$,$w_{s1}$,$u_{s2}$,$v_{s2}$,$w_{s2}$,$T$,$i_m$,$i_t$
0,-1,0,1,1,-1,2,22.870982187555537,0.00338653907420204,0.8896330089374691,-0.00019550323486328125,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1,1,0,"('1_Li2S_Pmmm_3', '1_Ni_Pmmm_1')",0,0
10,-1,0,1,1,1,0,23.086702746166615,0.009699832831421727,0.9671345616603052,3.1153361002604164e-05,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1/3,-1/3,2/3,"('1_Li2S_Pmmm_3', '1_S_Pmma_2')",2,0
3,-1,0,1,1,-1,2,22.870982187555537,0.00338653907420204,1.0091971778985047,-0.00019550323486328125,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1,1,0,"('1_Li2S_Pmmm_3', '4_Ni_Pmmm_1')",0,3
11,-1,0,1,1,1,0,23.086702746166615,0.009699832831421727,1.077774546482713,3.1153361002604164e-05,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1/3,-1/3,2/3,"('1_Li2S_Pmmm_3', '2_Ni_Pmmm_1')",2,1
7,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,1.1211556004387053,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('2_Li_P4/mmm_2', '1_NiS_Pmm2_2')",1,3
4,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,1.1266247140357906,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('1_S_P4/mmm_1', '1_NiS_Pmm2_2')",1,0
8,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,1.1700165259037234,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('2_Li_P4/mmm_2', '2_NiS_Pmm2_2')",1,4
6,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,1.1854421344743193,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('1_S_P4/mmm_1', '3_Ni_P4/mmm_1')",1,2
2,-1,0,1,1,-1,2,22.870982187555537,0.00338653907420204,1.5034823255460603,-0.00019550323486328125,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1,1,0,"('1_Li2S_Pmmm_3', '3_S_Pmmn_2')",0,2
1,-1,0,1,1,-1,2,22.870982187555537,0.00338653907420204,1.5592800066489707,-0.00019550323486328125,-1/2,0,-1/2,0,-1,0,-1/3,1/3,1/3,1,1,0,"('1_Li2S_Pmmm_3', '2_Ni_Pmmm_1')",0,1
9,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,1.6570873572655924,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('2_Li_P4/mmm_2', '3_Ni_P4/mmm_1')",1,5
5,-1,0,0,1,0,1,16.248674329874884,0.006540244823707114,1.6593818272065977,-0.0002381006876627604,0,1/2,1/2,0,-1/2,1/2,-1/3,1/3,1/3,-1/3,-2/3,1/3,"('1_S_P4/mmm_1', '2_NiS_Pmm2_2')",1,1
